ident,latitude_deg,longitude_deg,iata_code
SBPL,-9.362422,-40.569098,PNZ
SBBU,-22.344999,-49.053799,
SBJP,-7.148691,-34.950554,JPA
SBCH,-27.134199,-52.656601,XAP
SBMQ,0.050664,-51.072201,MCP
SBUR,-19.765036,-47.964805,UBA
SBRB,-9.869031,-67.893984,RBR
SBAR,-10.98394,-37.072873,AJU
SBCA,-25.000323,-53.501208,CAC
SBIL,-14.815929,-39.033458,IOS
SBAE,-22.160755,-49.070325,JTC
SDCO,-23.478001,-47.490002,SOD
SDIM,-24.159729,-46.790604,JTN
SBSN,-2.422423,-54.79306,STM
SDTK,-23.224044,-44.7234,JPY
SBSI,-11.885001,-55.586109,OPS
SDAA,-22.338227,-47.357898,
SDTB,-23.128167,-46.57465,
SDBK,-22.937765,-48.468161,
SDIO,-21.600287,-48.833057,
SBPV,-8.708491,-63.902338,PVH
SBIZ,-5.53129,-47.459999,IMP
SBPP,-22.549601,-55.702599,PMG
SBTE,-5.06025,-42.823712,THE
SBPK,-31.717189,-52.327796,PET
SBPG,-25.184476,-50.143822,PGZ
SBRD,-16.584292,-54.724803,ROO
SBGW,-22.791599,-45.2048,GUJ
SBPC,-21.842529,-46.569768,POO
SDAG,-22.9753,-44.307098,GDR
SIMK,-20.592199,-47.3829,FRC
SDPW,-22.7115,-47.618198,
SWLC,-17.834723,-50.956112,RVD
SDSC,-21.875032,-47.903851,QSC
SDUB,-23.441122,-45.075814,UBT
SBJF,-21.791482,-43.386072,JDF
SBMA,-5.36859,-49.138,MAB
SBNM,-28.282503,-54.169623,GEL
SBAT,-9.866389,-56.106298,AFL
SBAX,-19.5632,-46.9604,AAX
SBLJ,-27.782101,-50.281502,LAJ
SBMS,-5.20192,-37.3643,MVF
SBBT,-20.584631,-48.594125,BAT
SBLN,-21.663491,-49.729954,LIP
SBCB,-22.921485,-42.071874,CFB
SBTG,-20.752643,-51.682026,TJL
SDBB,-20.900252,-48.473547,
SWNV,-16.62584,-49.348832,
SDIG,-21.74723,-48.855595,
SWJW,-17.8299007416,-51.7729988098,JTI
SSPG,-25.5401,-48.5312,PNG
SNZA,-22.2892,-45.919102,PPY
SDVG,-20.458426,-50.003134,VOT
SBKG,-7.269662,-35.896057,CPV
SBMK,-16.706919,-43.818901,MOC
SBSM,-29.711399,-53.688202,RIA
SBCM,-28.725743,-49.424475,CCM
SBGV,-18.895882,-41.982869,GVR
SBUA,-0.14835,-66.9855,SJL
SBTF,-3.38294,-64.724098,TFF
SBVH,-12.6944,-60.098301,BVH
SBYS,-21.984692,-47.341207,QPS
SBMN,-3.14604,-59.986301,PLL
SBVG,-21.591375,-45.474116,VAG
SNBR,-12.0789,-45.008999,BRA
SBDO,-22.2019,-54.926601,DOU
SBGU,-25.388327,-51.52349,GPB
SBPO,-26.217184,-52.694463,PTO
SWNS,-16.363575,-48.9288,APS
SDDN,-20.925031,-51.382252,
SNAX,-22.638601,-50.455983,AIF
SBPR,-19.909629,-43.989179,
SSBL,-26.831661,-49.093569,BNU
SBBP,-22.978822,-46.537131,BJP
SDCD,-21.1492,-48.988701,
SNDV,-20.180700302124,-44.870899200439,DIQ
SWUZ,-16.26174,-47.968717,
SDMH,-20.806853,-49.485301,
SDPN,-21.410012,-50.033659,
SWPY,-15.565556,-54.337776,
SDRS,-22.4785,-44.480301,REZ
SDRK,-22.430767,-47.562291,
SSSC,-29.684099,-52.412201,CSU
SSKT,-27.611668,-48.672779,
